City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saumur,100,FR,1602986173,93,47.33,-0.25,46.99,5.59
1,hualmay,13,PE,1602986175,85,-11.1,-77.61,62.37,8.93
2,hobart,75,AU,1602986102,54,-42.88,147.33,61.0,6.93
3,esperance,0,AU,1602986179,67,-33.87,121.9,60.8,11.41
4,praia,20,CV,1602986181,94,14.92,-23.51,77.0,4.7
5,shirvan,0,AZ,1602986183,92,39.95,48.9,60.91,2.71
6,busselton,0,AU,1602986185,37,-33.65,115.33,73.99,8.05
7,cape town,20,ZA,1602986097,82,-33.93,18.42,57.2,5.82
8,barrow,1,US,1602986190,73,71.29,-156.79,21.2,12.75
9,portland,96,US,1602986192,70,45.52,-122.68,62.01,1.9
10,inhambane,21,MZ,1602986194,80,-23.86,35.38,68.27,7.27
11,pangnirtung,98,CA,1602986196,93,66.15,-65.71,26.85,4.05
12,bilma,0,NE,1602986198,17,18.69,12.92,80.73,3.87
13,rikitea,100,PF,1602986200,80,-23.12,-134.97,74.62,18.75
14,ushuaia,90,AR,1602986202,86,-54.8,-68.3,41.0,4.7
15,khatanga,24,RU,1602986205,90,71.97,102.5,5.29,8.39
16,riberalta,50,BO,1602986207,55,-10.98,-66.1,80.69,3.31
17,toropets,100,RU,1602986211,91,56.5,31.64,34.39,3.4
18,vaini,40,TO,1602986213,83,-21.2,-175.2,77.0,17.22
19,bilibino,100,RU,1602986215,95,68.05,166.44,22.69,2.46
20,klaksvik,95,FO,1602986217,93,62.23,-6.59,35.6,5.93
21,rock springs,1,US,1602986219,32,41.59,-109.2,53.6,25.28
22,puerto ayora,92,EC,1602986222,85,-0.74,-90.35,71.01,5.99
23,mudon,97,MM,1602986224,90,16.26,97.72,76.28,7.54
24,kaitangata,94,NZ,1602986226,71,-46.28,169.85,53.01,5.79
25,killybegs,85,IE,1602986228,85,54.63,-8.45,48.47,6.44
26,eydhafushi,61,MV,1602986230,75,5.1,73.07,82.62,13.29
27,hermanus,58,ZA,1602986232,95,-34.42,19.23,51.01,5.91
28,kiama,70,AU,1602986235,81,-34.68,150.87,64.99,1.99
29,kuningan,59,ID,1602986237,66,-6.98,108.48,79.27,5.82
30,longyearbyen,75,SJ,1602986114,73,78.22,15.64,24.8,4.7
31,adrar,0,MR,1602986241,25,20.5,-10.07,84.99,9.37
32,mar del plata,0,AR,1602986243,88,-38.0,-57.56,66.2,8.05
33,port alfred,100,ZA,1602986245,86,-33.59,26.89,62.87,15.79
34,plouzane,96,FR,1602986247,81,48.38,-4.62,48.2,8.05
35,cidreira,100,BR,1602986249,82,-30.18,-50.21,66.96,22.82
36,kahului,40,US,1602986251,49,20.89,-156.47,89.6,5.82
37,kande,34,TG,1602986254,86,9.96,1.04,74.82,0.89
38,dikson,2,RU,1602986256,93,73.51,80.55,17.35,23.87
39,plettenberg bay,30,ZA,1602986258,86,-34.05,23.37,58.87,7.56
40,jamestown,1,US,1602986084,45,42.1,-79.24,45.0,5.82
41,pevek,100,RU,1602986263,98,69.7,170.31,28.8,7.81
42,hasilpur,0,PK,1602986265,20,29.71,72.56,73.72,5.21
43,ponta do sol,40,PT,1602986267,68,32.67,-17.1,69.8,19.46
44,fethiye,75,TR,1602986071,77,36.62,29.12,68.0,6.93
45,butaritari,23,KI,1602986272,77,3.07,172.79,82.51,20.36
46,katsuura,75,JP,1602986275,68,35.13,140.3,64.99,11.41
47,wewak,100,PG,1602986278,83,-3.55,143.63,80.42,3.11
48,kapaa,75,US,1602986280,88,22.08,-159.32,78.8,8.05
49,yerbogachen,82,RU,1602986282,96,61.28,108.01,26.89,5.59
50,krasne,90,UA,1602986284,100,49.91,24.61,44.6,8.95
51,olupona,24,NG,1602986288,98,7.6,4.18,70.95,2.04
52,oranjestad,20,AW,1602986127,79,12.52,-70.03,84.2,23.04
53,lebu,24,CL,1602986295,94,-37.62,-73.65,50.49,5.77
54,ranong,75,TH,1602986297,100,9.97,98.63,77.0,2.24
55,marawi,87,PH,1602986299,79,8.0,124.29,82.0,3.0
56,byron bay,31,AU,1602986301,51,-28.65,153.62,88.0,13.87
57,coihaique,75,CL,1602986303,87,-45.58,-72.07,42.8,1.12
58,jahangirpur,0,IN,1602986306,4,28.18,77.72,84.99,1.52
59,tasiilaq,6,GL,1602986308,42,65.61,-37.64,46.4,14.99
60,tuatapere,94,NZ,1602986310,62,-46.13,167.68,54.0,10.0
61,nanortalik,60,GL,1602986312,84,60.14,-45.24,38.91,2.8
62,talara,99,PE,1602986315,90,-4.58,-81.27,63.72,11.68
63,bredasdorp,100,ZA,1602986318,93,-34.53,20.04,53.6,4.7
64,bathsheba,75,BB,1602986320,88,13.22,-59.52,77.0,11.41
65,mataura,74,NZ,1602986325,62,-46.19,168.86,54.0,10.0
66,progreso,40,MX,1602986328,83,21.28,-89.67,81.0,4.7
67,talnakh,85,RU,1602986330,92,69.49,88.4,26.6,8.95
68,matamoros,5,MX,1602986332,22,25.53,-103.25,86.0,4.74
69,sorland,75,NO,1602986334,63,67.67,12.69,43.43,27.65
70,avarua,91,CK,1602986102,69,-21.21,-159.78,77.0,18.34
71,guerrero negro,41,MX,1602986339,69,27.98,-114.06,73.87,11.72
72,lugovoy,0,KZ,1602986342,46,42.95,72.76,49.55,2.04
73,casino,85,AU,1602986345,28,-28.87,153.05,88.0,14.99
74,talikota,1,IN,1602986348,81,16.48,76.32,73.8,9.6
75,carnarvon,90,AU,1602986351,73,-24.87,113.63,73.4,14.99
